常看（20240725更新）,#genre#
CCTV1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226737/1.m3u8$gmcc域名
CCTV1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226823/1.m3u8$gmcc域名
CCTV1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226667/1.m3u8$gmcc域名
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8$gmcc
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8$gmcc
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$移动域名
CCTV1,http://39.105.167.176/live/CCTV1HD_1200.m3u8$阿里云
CCTV1,http://avd.iptviptv.site:9694/hls/1/index.m3u8
CCTV1,http://[2409:8087:2801:22:100::7d]/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236222/index.m3u8$移动V6
CCTV1,http://222.81.86.42:8060/hls/ch3/ch3.m3u8
CCTV1,http://218.24.193.146:808/hls/1/index.m3u8
CCTV1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8
CCTV1,http://183.236.32.24:9901/hls/1001/index.m3u8
CCTV2,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226739/1.m3u8$gmcc域名
CCTV2,http://120.198.224.99:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$gmcc
CCTV2,http://120.198.224.98:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$gmcc
CCTV2,http://120.198.224.105:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$gmcc
CCTV2,http://120.198.224.104:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$gmcc
CCTV2,http://120.198.224.101:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$gmcc
CCTV2,http://120.198.224.100:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$gmcc
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$移动域名
CCTV2,http://39.105.167.176/live/CCTV2HD_1200.m3u8$阿里云
CCTV2,http://avd.iptviptv.site:9694/hls/2/index.m3u8
CCTV2,http://[2409:8087:2801:22:100::62]/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236393/index.m3u8$移动V6
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$移动V6
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$移动V6
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$移动V6
CCTV2,http://39.135.133.173:80/wh7f454c46tw1904685231_569446632/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$移动
CCTV2,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8$央视官方域名
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?fbl=$央视官方域名
CCTV2,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS$v6
CCTV2,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS$v6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8$v6
CCTV2,http://www.zbhjzn.com:12314/udp/239.253.252.232:8000$域名
CCTV2,http://pve.grayidea.com:4022/udp/239.3.1.60:8084$域名
CCTV2,http://61.163.181.78:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://61.134.121.243:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://36.35.16.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.244.147.16:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://222.244.147.16:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://222.244.147.16:9901/tsfile/live/0002_1.m3u8
CCTV2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV2,http://211.142.218.74:9901/iptv/movie/cctv2.mp4?key=txiptv
CCTV2,http://124.165.251.82:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV2,http://124.116.183.146:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://123.163.55.234:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://112.123.155.153:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226725/1.m3u8$gmccc域名
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8$移动域名
CCTV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8$gmcc
CCTV4,http://39.105.167.176/live/CCTV4HD_1200.m3u8$阿里云
CCTV4,http://avd.iptviptv.site:9694/hls/4/index.m3u8
CCTV4,http://219.128.49.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$睡意迷离的猫
CCTV4,http://116.167.76.60:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$睡意迷离的猫


CCTV9,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226657/1.m3u8$gmcc域名
CCTV9,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226651/1.m3u8$gmcc域名
CCTV9,http://120.198.224.105:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8$gmcc
CCTV9,http://120.198.224.104:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8$gmcc
CCTV9,http://120.198.224.102:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8$gmcc
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8$gmcc
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8?21225734$移动域名
